sound,light,availability
0,0,1
305, 355, 0
305, 355, 0
300, 300, 0
56, 287, 1
67, 380, 1
23, 39, 1
26, 28, 1
23, 199, 1
187, 30, 0
132, 30, 0
28, 30, 1
155, 30, 0
132, 28, 0
25, 31, 1
29, 27, 1
31, 27, 1
349, 29, 0
493, 28, 0
31, 234, 1
102, 27, 0
32, 26, 1
